[2024-01-23 17:46:51,560: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1afhfOfSlE7su4N2BZyzUafQxatSmCYQf/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2024-01-23 17:46:52,133: INFO: main: >>>>> stage Data Ingestion Stage completed <<<<<

x==========x:]
[2024-01-23 17:46:52,149: INFO: main: ***************:]
[2024-01-23 17:46:52,149: INFO: main: >>>>> stage Prepare Base Model started <<<<<:]
[2024-01-23 17:46:52,150: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2024-01-23 17:46:52,152: INFO: common: yaml file: params.yaml loaded successfully:]
[2024-01-23 17:46:52,153: INFO: common: created directory at: artifacts:]
[2024-01-23 17:46:52,154: INFO: common: created directory at: artifacts/prepare_base_model:]
[2024-01-23 17:54:49,293: INFO: main: >>>>> stage Data Ingestion Stage started <<<<<:]
[2024-01-23 17:54:49,293: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2024-01-23 17:54:49,293: INFO: common: yaml file: params.yaml loaded successfully:]
[2024-01-23 17:54:49,293: INFO: common: created directory at: artifacts:]
[2024-01-23 17:54:49,293: INFO: common: created directory at: artifacts/data_ingestion:]
[2024-01-23 17:54:49,293: INFO: data_ingestion: Downloading dataset from https://drive.google.com/file/d/1afhfOfSlE7su4N2BZyzUafQxatSmCYQf/view?usp=sharing into the file artifacts/data_ingestion/data.zip:]
[2024-01-23 17:55:48,416: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1afhfOfSlE7su4N2BZyzUafQxatSmCYQf/view?usp=sharing into file artifacts/data_ingestion/data.zip:]
[2024-01-23 17:55:49,514: INFO: main: >>>>> stage Data Ingestion Stage completed <<<<<

x==========x:]
[2024-01-23 17:55:49,514: INFO: main: ***************:]
[2024-01-23 17:55:49,514: INFO: main: >>>>> stage Prepare Base Model started <<<<<:]
[2024-01-23 17:55:49,530: INFO: common: yaml file: config\config.yaml loaded successfully:]
[2024-01-23 17:55:49,530: INFO: common: yaml file: params.yaml loaded successfully:]
[2024-01-23 17:55:49,530: INFO: common: created directory at: artifacts:]
[2024-01-23 17:55:49,530: INFO: common: created directory at: artifacts/prepare_base_model:]
